id;Название_ru;Name_en;id_станции;Направление;lat;lon
19820;ул. Красная Пресня, Преснеский вал;ul. Krasnaja Presnja, Presneskij val;121;out;55.76404932;37.56250527
19821;ул. Красная Пресня, Преснеский вал;ul. Krasnaja Presnja, Presneskij val;121;in;55.76388045;37.56220025
19850;ул. Академика Янгеля, РГГУ, перехватывающая парковка;ul. Akademika Jangelja, RGGU, parking;162;both;55.59580664;37.60014369
19860;Варшавское шоссе, ул. Россошанская;Varshavskoe shosse, ul. Rossoshanskaja;162;both;55.59419588;37.60183908
19870;Варшавское шоссе, перехватывающая парковка;Varshavskoe shosse, parking;162;both;55.59621592;37.60122169
19880;"ул. Академика Янгеля, ТЦ ""Сомбреро""";"ul. Akademika Jangelja, shopping mall ""Sombrero""";162;both;55.59452192;37.60042533
19890;Варшавское шоссе, автобусная остановка;Varshavskoe shosse, bus stop;162;both;55.59613545;37.60194868
19892;"Варшавское шоссе, ТЦ ""Меримис""";"Varshavskoe shosse, shopping mall ""Merimis""";162;both;55.59603556;37.60274365
19910;"ул. Ивантеевская, ТЦ ""Подсолнухи""";"ul. Ivanteevskaja, shopping mall ""Podsolnuhi""";1;both;55.81414477;37.73564412
19930;б-р Адмирала Ушакова;boulevard Admirala Ushakova;192;both;55.54773043;37.55313535
19940;б-р Дмитрия Донского, мкр. 2 и 2А Северного Бутова;boulevard Dmitrija Donskogo, mikrorajon Dva and Dva A Severnogo Butova;164;both;55.56871718;37.57524195
19941;б-р Дмитрия Донского, ул. Грина;boulevard Dmitrija Donskogo, ul. Grina;164;both;55.56836902;37.57498693
19942;"магазин ""Пятёрочка""";"shop ""Pjatjorochka""";164;both;55.5683568;37.57688198
19943;мкр. 6А Северного Бутова;mikrorajon Shest' A Severnogo Butova;164;both;55.5679781;37.57661017
19944;б-р Дмитрия Донского, автобусная остановка в центр;boulevard Dmitrija Donskogo, bus stop to center;164;both;55.56857669;37.57597645
19945;б-р Дмитрия Донского, мкр. 2 и 2А Северного Бутова;boulevard Dmitrija Donskogo, mikrorajon  Dva and Dva A Severnogo Butova;191;both;55.56871718;37.57524195
19946;б-р Дмитрия Донского, ул. Грина;boulevard Dmitrija Donskogo, ul. Grina;191;both;55.56836902;37.57498693
19947;"магазин ""Пятёрочка""";"shop ""Pjatjorochka""";191;both;55.5683568;37.57688198
19948;мкр. 6А Северного Бутова;mikrorajon  Shest' A Severnogo Butova;191;both;55.5679781;37.57661017
19949;б-р Дмитрия Донского, автобусная остановка в центр;boulevard Dmitrija Donskogo, bus stop to center;191;both;55.56857669;37.57597645
19950;пр-т Вернадского, трамвайная остановка, цирк;prospekt Vernadskogo, tramway stop, cirk;17;out;55.69196097;37.53494889
19951;пр-т Вернадского, трамвайная остановка, цирк;prospekt Vernadskogo, tramway stop, cirk;17;in;55.69170137;37.53513671
19952;пр-т Вернадского, ул. Строителей;prospekt Vernadskogo, ul. Stroitelej;17;in;55.69159906;37.53467097
